number,PF,dedupPF,divisor
291,"[3, 97]","[3, 97]","[3, 97]"
292,"[2, 2, 73]","[2, 73]","[2, 4, 73, 146]"
293,[293],[293],[]
294,"[2, 3, 7, 7]","[2, 3, 7]","[2, 3, 6, 7, 14, 21, 42, 49, 98, 147]"
295,"[5, 59]","[5, 59]","[5, 59]"
296,"[2, 2, 2, 37]","[2, 37]","[2, 4, 8, 37, 74, 148]"
297,"[3, 3, 3, 11]","[3, 11]","[3, 9, 11, 27, 33, 99]"
298,"[2, 149]","[2, 149]","[2, 149]"
299,"[13, 23]","[13, 23]","[13, 23]"
300,"[2, 2, 3, 5, 5]","[2, 3, 5]","[2, 3, 4, 5, 6, 10, 12, 15, 20, 25, 30, 50, 60, 75, 100, 150]"
301,"[7, 43]","[7, 43]","[7, 43]"
302,"[2, 151]","[2, 151]","[2, 151]"
303,"[3, 101]","[3, 101]","[3, 101]"
304,"[2, 2, 2, 2, 19]","[2, 19]","[2, 4, 8, 16, 19, 38, 76, 152]"
305,"[5, 61]","[5, 61]","[5, 61]"
306,"[2, 3, 3, 17]","[2, 3, 17]","[2, 3, 6, 9, 17, 18, 34, 51, 102, 153]"
307,[307],[307],[]
308,"[2, 2, 7, 11]","[2, 7, 11]","[2, 4, 7, 11, 14, 22, 28, 44, 77, 154]"
309,"[3, 103]","[3, 103]","[3, 103]"
310,"[2, 5, 31]","[2, 5, 31]","[2, 5, 10, 31, 62, 155]"
311,[311],[311],[]
312,"[2, 2, 2, 3, 13]","[2, 3, 13]","[2, 3, 4, 6, 8, 12, 13, 24, 26, 39, 52, 78, 104, 156]"
313,[313],[313],[]
314,"[2, 157]","[2, 157]","[2, 157]"
315,"[3, 3, 5, 7]","[3, 5, 7]","[3, 5, 7, 9, 15, 21, 35, 45, 63, 105]"
316,"[2, 2, 79]","[2, 79]","[2, 4, 79, 158]"
317,[317],[317],[]
318,"[2, 3, 53]","[2, 3, 53]","[2, 3, 6, 53, 106, 159]"
319,"[11, 29]","[11, 29]","[11, 29]"
320,"[2, 2, 2, 2, 2, 2, 5]","[2, 5]","[2, 4, 5, 8, 10, 16, 20, 32, 40, 64, 80, 160]"
321,"[3, 107]","[3, 107]","[3, 107]"
322,"[2, 7, 23]","[2, 7, 23]","[2, 7, 14, 23, 46, 161]"
323,"[17, 19]","[17, 19]","[17, 19]"
324,"[2, 2, 3, 3, 3, 3]","[2, 3]","[2, 3, 4, 6, 9, 12, 18, 27, 36, 54, 81, 108, 162]"
325,"[5, 5, 13]","[5, 13]","[5, 13, 25, 65]"
326,"[2, 163]","[2, 163]","[2, 163]"
327,"[3, 109]","[3, 109]","[3, 109]"
328,"[2, 2, 2, 41]","[2, 41]","[2, 4, 8, 41, 82, 164]"
329,"[7, 47]","[7, 47]","[7, 47]"
